MsgID.LOCAL_VELOCITY,0.0000000,-0.9300000,1.3800000,-47.3600000
MsgID.LOCAL_POSITION,861.7870000,-0.6923571,0.8745325,-93.4232712
MsgID.LOCAL_VELOCITY,861.7870000,-0.9313508,1.3773265,-46.9718552
MsgID.GLOBAL_POSITION,0.0000000,-122.3974349,37.7924727,104.3300000
MsgID.LOCAL_VELOCITY,0.0000000,-0.8700000,1.2900000,-41.8400000
MsgID.LOCAL_POSITION,862.0370000,-0.8058750,1.3421127,-104.5400925
MsgID.LOCAL_VELOCITY,862.0370000,-0.8749235,1.2938793,-41.7484093
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974322,37.7924711,113.7780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.8200000,1.2200000,-37.1500000
MsgID.LOCAL_POSITION,862.2870000,-0.9977538,1.5958076,-114.2801590
